genre,title,author,pages,unique_key,average_rating,book_description
science-fiction-fantasy,The Neil Gaiman Reader: Selected Fiction,by Neil Gaiman (Goodreads Author),752 pages,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,4.55,"An outstanding array—52 pieces in all—of selected fiction from the multiple-award-winning, #1 New York Times bestselling author Neil Gaiman, curated by his readers around the world, and introduced with a foreword by Booker Prize-winning author Marlon James

Spanning Gaiman’s career to date, The Neil Gaiman Reader: Selected Fiction is a captivating collection from one of the world’s most beloved writers, chosen by those who know his work best: his devoted readers. 

A brilliant representation of Gaiman's groundbreaking, entrancing, endlessly imaginative fiction, this captivating volume includes excerpts from each of his five novels for adults —Neverwhere, Stardust, American Gods, Anansi Boys, and The Ocean at the End of the Lane—and nearly fifty of his short stories. 

Impressive in its depth and range, The Neil Gaiman Reader: Selected Fiction is both an entryway to Gaiman’s oeuvre and a literary trove Gaiman fans old and new will return to many times over."
science-fiction-fantasy,Lightbringer,by Claire Legrand (Goodreads Author),592 pages,https://www.goodreads.com/book/show/36253143-lightbringer,4.07,"The incredible conclusion to the trilogy that started with the instant New York Times bestsellers Furyborn and Kingsbane!
In this epic finale to the Empirium Trilogy from New York Times bestselling author Claire Legrand, two queens, separated by a thousand years must face their ultimate destinies.
Queen Rielle, pushed away from everything she loves, turns to Corien and his promises of glory. Meanwhile, whispers from the empirium slowly drive her mad, urging her to open the Gate. Separated from Audric and Ludivine, she embraces the role of Blood Queen and her place by Corien’s side, determined to become the monster the world believes her to be.
In the future, Eliana arrives in the Empire’s capital as a broken shell of herself. Betrayed and abandoned, she fights to keep her power at bay—and away from Corien, who will stop at nothing to travel back in time to Rielle, even if that means destroying her daughter.
But when the mysterious Prophet reveals themselves at last, everything changes, giving Rielle and Eliana a second chance for salvation—or the destruction their world has been dreading.
Praise for Furyborn:
A BuzzFeed Most Anticipated Title of Spring 2018
A Goodreads Most Anticipated Title of Spring 2018
A Bustle Most Anticipated Title of Spring 2018
""A must-read."" —Refinery29
""A series to watch."" —Paste magazine
""Visionary."" —Bustle magazine
""One of the biggest new YA fantasies."" —Entertainment Weekly
""Empowering."" —BuzzFeed"
science-fiction-fantasy,The Midnight Bargain,by C.L. Polk (Goodreads Author),384 pages,https://www.goodreads.com/book/show/49151031-the-midnight-bargain,3.89,
science-fiction-fantasy,A Golden Fury,by Samantha Cohoe (Goodreads Author),352 pages,https://www.goodreads.com/book/show/41187447-a-golden-fury,3.78,"Thea Hope longs to be an alchemist out of the shadow of her famous mother. The two of them are close to creating the legendary Philosopher’s Stone—whose properties include immortality and can turn any metal into gold—but just when the promise of the Stone’s riches is in their grasp, Thea’s mother destroys the Stone in a sudden fit of violent madness.

While combing through her mother’s notes, Thea learns that there’s a curse on the Stone that causes anyone who tries to make it to lose their sanity. With the threat of the French Revolution looming, Thea is sent to Oxford for her safety, to live with the father who doesn’t know she exists.

But in Oxford, there are alchemists after the Stone who don’t believe Thea’s warning about the curse—instead, they’ll stop at nothing to steal Thea’s knowledge of how to create the Stone. But Thea can only run for so long, and soon she will have to choose: create the Stone and sacrifice her sanity, or let the people she loves die."
science-fiction-fantasy,The Lives of Saints,"by Leigh Bardugo (Goodreads Author), Daniel J. Zollinger (Illustrator)",121 pages,https://www.goodreads.com/book/show/54205369-the-lives-of-saints,4.13,"Enter the world of the Grishaverse and Shadow and Bone, soon to be a Netflix original series!

Dive into the epic world of international bestselling author Leigh Bardugo with this beautifully illustrated replica of The Lives of Saints, the Istorii Sankt’ya, featuring tales of saints drawn from the beloved novels and beyond. Out of the pages of the Shadow and Bone trilogy, from the hands of Alina Starkov to yours, the Istorii Sankt’ya is a magical keepsake from the Grishaverse.

These tales include miracles and martyrdoms from familiar saints like Sankta Lizabeta of the Roses and Sankt Ilya in Chains, to the strange and obscure stories of Sankta Ursula, Sankta Maradi, and the Starless Saint.

This beautiful collection includes stunning full-color illustrations of each story."
science-fiction-fantasy,Dawnshard,by Brandon Sanderson (Goodreads Author),208 pages,https://www.goodreads.com/book/show/54511226-dawnshard,4.64,"From Brandon Sanderson—author of the #1 New York Times bestselling Stormlight Archive and its fourth massive installment, Rhythm of War—comes a new hefty novella, Dawnshard. Taking place between Oathbringer and Rhythm of War, this tale (like Edgedancer before it) gives often-overshadowed characters their own chance to shine.

When a ghost ship is discovered, its crew presumed dead after trying to reach the storm-shrouded island Akinah, Navani Kholin must send an expedition to make sure the island hasn't fallen into enemy hands. Knights Radiant who fly too near find their Stormlight suddenly drained, so the voyage must be by sea.

Shipowner Rysn Ftori lost the use of her legs but gained the companionship of Chiri-Chiri, a Stormlight-ingesting winged larkin, a species once thought extinct. Now Rysn's pet is ill, and any hope for Chiri-Chiri’s recovery can be found only at the ancestral home of the larkin: Akinah. With the help of Lopen, the formerly one-armed Windrunner, Rysn must accept Navani's quest and sail into the perilous storm from which no one has returned alive. If the crew cannot uncover the secrets of the hidden island city before the wrath of its ancient guardians falls upon them, the fate of Roshar and the entire Cosmere hangs in the balance."
science-fiction-fantasy,A Deal with the Elf King,by Elise Kova (Goodreads Author),338 pages,https://www.goodreads.com/book/show/55285911-a-deal-with-the-elf-king,3.91,"Perfect for fans of A Court of Thorns and Roses and Uprooted, this stand-alone, fantasy romance about a human girl and her marriage to the Elf King is impossible to put down!

The elves come for two things: war and wives. In both cases, they come for death.

Three-thousand years ago, humans were hunted by powerful races with wild magic until the treaty was formed. Now, for centuries, the elves have taken a young woman from Luella's village to be their Human Queen.

To be chosen is seen as a mark of death by the townsfolk. A mark nineteen-year-old Luella is grateful to have escaped as a girl. Instead, she's dedicated her life to studying herbology and becoming the town's only healer.

That is, until the Elf King unexpectedly arrives... for her.

Everything Luella had thought she'd known about her life, and herself, was a lie. Taken to a land filled with wild magic, Luella is forced to be the new queen to a cold yet blisteringly handsome Elf King. Once there, she learns about a dying world that only she can save.

The magical land of Midscape pulls on one corner of her heart, her home and people tug on another... but what will truly break her is a passion she never wanted.

A Deal with the Elf King is a complete, stand-alone novel, inspired by the tales of Hades and Persephone, as well as Beauty and the Beast, with a ""happily ever after"" ending. It's perfect for fantasy romance fans looking for just the right amount of steam and their next slow-burn and swoon-worthy couple."
science-fiction-fantasy,Elsewhere,by Dean Koontz (Goodreads Author),364 pages,https://www.goodreads.com/book/show/52737437-elsewhere,4.26,"The fate of the world is in the hands of a father and daughter in an epic novel of wonder and terror by Dean Koontz, the #1 New York Times bestselling master of suspense.

Since his wife, Michelle, left seven years ago, Jeffy Coltrane has worked to maintain a normal life for himself and his eleven-year-old daughter, Amity, in Suavidad Beach. It’s a quiet life, until a local eccentric known as Spooky Ed shows up on their doorstep.

Ed entrusts Jeffy with hiding a strange and dangerous object—something he calls “the key to everything”—and tells Jeffy that he must never use the device. But after a visit from a group of ominous men, Jeffy and Amity find themselves accidentally activating the key and discovering an extraordinary truth. The device allows them to jump between parallel planes at once familiar and bizarre, wondrous and terrifying. And Jeffy and Amity can’t help but wonder, could Michelle be just a click away?

Jeffy and Amity aren’t the only ones interested in the device. A man with a dark purpose is in pursuit, determined to use its grand potential for profound evil. Unless Amity and Jeffy can outwit him, the place they call home may never be safe again."
science-fiction-fantasy,The Silence,by Don DeLillo,128 pages,https://www.goodreads.com/book/show/53879204-the-silence,2.87,"From one of the most dazzling and essential voices in American fiction, a timely and compelling novel set in the near future about five people gathered together in a Manhattan apartment, in the midst of a catastrophic event.

Don DeLillo completed this novel just weeks before the advent of Covid-19. The Silence is the story of a different catastrophic event. Its resonances offer a mysterious solace.

It is Super Bowl Sunday in the year 2022. Five people, dinner, an apartment on the east side of Manhattan. The retired physics professor and her husband and her former student waiting for the couple who will join them from what becomes a dramatic flight from Paris. The conversation ranges from a survey telescope in North-central Chile to a favorite brand of bourbon to Einstein’s 1912 Manuscript on the Special Theory of Relativity.

Then something happens and the digital connections that have transformed our lives are severed.

What follows is a dazzling and profoundly moving conversation about what makes us human. Never has the art of fiction been such an immediate guide to our navigation of a bewildering world. Never have DeLillo’s prescience, imagination, and language been more illuminating and essential."
science-fiction-fantasy,All Systems Red,by Martha Wells (Goodreads Author),144 pages,https://www.goodreads.com/book/show/32758901-all-systems-red,4.15,
